Abreviatura,Palabra completa,Ejemplo,Ubicación
scrivo,escribano,,AGN_Tierras_v2678_exp031_03
seissos,seiscientos,,AGN_Indios_v019_exp049
senlado,señalado,,AGN_Indios_v002_exp928
sepre,septiembre,,AGN_Marina_v002_231
septe,septiembre,,AGN_Marina_v002_015
servio,servicio,,AGN_Marina_v002_021
ses,señores,,
sette,septiembre,,AGN_Indios_v021_exp095
sge,siguiente,,
sgtes,siguientes,,
signte,siguiente,,AGN_Indios_v021_exp095
sigte,siguiente,,
slo,salario,,AGN_Marina_v002_009
smor,señor,,
sn,san,,AGN_Marina_v002_227
sor,señor,,
spura,escritura (scriptura),Picture,
srs,señores,,
ssa,etcétera,,BnF_112_34
sses,señores,,
ssos,seiscientos,,
st,san,,AGN_Indios_v021_exp095
supor,superior,,AGN_Marina_v002_229
suppco,suplico,,AGN_Indios_v021_exp095
tgo,testigo,,BnF_112_34
to,tomines,,AGN_Tierras_v2678_exp031_23
to,testigo,,AGN_Marina_v002_009
toes,tomines,,
tos,testigo,,
tral,tribunal,,AGN_Marina_v002_230
trdo,traslado,,AGN_Indios_v021_exp095
tribl,tribunal,,AGN_Marina_v002_229
tribos,tributos,,AGN_Indios_v002_exp928
tris,tributos,,AGN_Indios_v021_exp095
trnos,términos,,BnF_075_08
tros,tributos,,AGN_Indios_v021_exp095
trras,tierras,,BnF_032_11
tsmo,testimonio,,
tso,testigo,,BnF_112_34
V.E.,vuestra excelencia,,AGN_Marina_v002_229
veracz,Veracruz,,AGN_Marina_v002_355
verdd,verdad,,
vertud,virtud,,
vezo,vecino,,
vezos,vecinos,,AGN_RealesCedDup_v019_exp445-446
vo,vecino,,BnF_112_34
vos,vecinos,,
Vsco,Velasco,,AGN_Indios_v005_exp529
vta,vuelta,,AGN_Marina_v002_229
vte,veinte,,
vzo,vecino,,
xpiana,cristiana,,
xpiano,cristiano,,
xpo,Cristo,,
Xpoval,Cristobal,,
xptiano,cristiano,,AGN_Indios_v019_exp049
xptoval,Cristobal,,AGN_Indios_v019_exp049
Ygo,Ignacio,,AGN_Marina_v002_355
yllmo,ilustrisimo,,AGN_Marina_v002_072
ynformon,información,,AGN_Indios_v021_exp095
ynforon,información,,BnF_112_17
ynfron,información,,BnF_112_18
ynte,intendente,,AGN_Marina_v002_355
znqta,cincuenta,,AGN_Marina_v002_005
